time_s,x_m,y_m,alt_m,lat,lon,RSRP_dBm,RSSI_dBm,RSRQ_dB,SINR_dB,Antenna_Gain_dB,source_plan,antenna_mode,tx_power_dBm,frequency_MHz,rx_gain_dBi,system_losses_dB,noise_floor_dBm,interference_floor_dBm,env_variation_strength_dB,env_variation_smoothness,antenna_omni_gain_dBi,antenna_dir_peak_gain_dBi,antenna_dir_az_bw_deg,antenna_dir_el_bw_deg,antenna_azimuth_deg,antenna_elevation_deg,bs_alt_m,ref_lat,ref_lon
0.0,0.0,0.0,95.0,52.6304782,1.1710553,-175.7900750405473,-148.00856253671085,-10.791812460476251,-79.00245905968985,-94.09765820799473,SPIRAL_6orbit_spc15m_alt95m_20260310T142457Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
0.25,0.7071067811768865,0.7071067811962084,95.0,52.63048455201923,1.1710657654190126,-180.47038028923816,-152.68886778540173,-10.791812460476251,-83.68276430838071,-98.45736863334437,SPIRAL_6orbit_spc15m_alt95m_20260310T142457Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
0.5,1.414213562353773,1.4142135623924168,95.0,52.63049090403847,1.1710762308380254,-178.1638488536886,-150.38233634985215,-10.791812460476251,-81.37623287283114,-97.03230947854807,SPIRAL_6orbit_spc15m_alt95m_20260310T142457Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
0.75,2.12132034353066,2.121320343588625,95.0,52.6304972560577,1.1710866962570383,-177.17319318719277,-149.39168068335633,-10.791812460476251,-80.38557720633533,-95.6014666954356,SPIRAL_6orbit_spc15m_alt95m_20260310T142457Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
1.0,2.828427124707546,2.8284271247848336,95.0,52.630503608076936,1.171097161676051,-176.09176356720477,-148.31025106336833,-10.791812460476251,-79.30414758634731,-94.16995092137766,SPIRAL_6orbit_spc15m_alt95m_20260310T142457Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
1.25,3.5355339058844324,3.5355339059810422,95.0,52.63050996009617,1.1711076270950638,-174.4522889124569,-146.67077640862047,-10.791812460476251,-77.66467293159947,-92.74153539203937,SPIRAL_6orbit_spc15m_alt95m_20260310T142457Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
1.5,4.24264068706132,4.24264068717725,95.0,52.630516312115404,1.1711180925140765,-173.01644860621386,-145.23493610237742,-10.791812460476251,-76.22883262535643,-91.31900370962786,SPIRAL_6orbit_spc15m_alt95m_20260310T142457Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
1.75,4.949747468238206,4.949747468373459,95.0,52.63052266413464,1.1711285579330895,-170.82361541016084,-143.0421029063244,-10.791812460476251,-74.0359994293034,-89.90441744773723,SPIRAL_6orbit_spc15m_alt95m_20260310T142457Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
2.0,5.656854249415092,5.656854249569667,95.0,52.63052901615388,1.1711390233521022,-169.27029500749464,-141.4887825036582,-10.791812460476251,-72.48267902663719,-88.49931565746823,SPIRAL_6orbit_spc15m_alt95m_20260310T142457Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
2.25,6.3639610305919785,6.363961030765876,95.0,52.63053536817311,1.171149488771115,-167.369051138939,-139.58753863510256,-10.791812460476251,-70.58143515808156,-87.10486058518944,SPIRAL_6orbit_spc15m_alt95m_20260310T142457Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
2.5,7.071067811768865,7.0710678119620844,95.0,52.63054172019235,1.1711599541901276,-164.6605012540321,-136.87898875019567,-10.791812460476251,-67.87288527317466,-85.72194268794479,SPIRAL_6orbit_spc15m_alt95m_20260310T142457Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
2.75,7.778174592945752,7.778174593158292,95.0,52.63054807221158,1.1711704196091406,-162.17900186162328,-134.39748935778684,-10.791812460476251,-65.39138588076584,-84.35125566248361,SPIRAL_6orbit_spc15m_alt95m_20260310T142457Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
3.0,8.48528137412264,8.4852813743545,95.0,52.630554424230816,1.1711808850281533,-159.49533225576545,-131.713819751929,-10.791812460476251,-62.70771627490801,-82.99334975963193,SPIRAL_6orbit_spc15m_alt95m_20260310T142457Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
3.25,9.192388155299525,9.19238815555071,95.0,52.63056077625005,1.171191350447166,-157.73697736014822,-129.95546485631178,-10.791812460476251,-60.949361379290764,-81.64866954907966,SPIRAL_6orbit_spc15m_alt95m_20260310T142457Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
3.5,9.899494936476412,9.899494936746917,95.0,52.630567128269284,1.1712018158661788,-156.54485440559878,-128.76334190176235,-10.791812460476251,-59.75723842474133,-80.31758063008503,SPIRAL_6orbit_spc15m_alt95m_20260310T142457Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
3.75,10.606601717653298,10.606601717943127,95.0,52.63057348028852,1.1712122812851917,-154.74884814347035,-126.96733563963392,-10.791812460476251,-57.961232162612916,-79.00038852062389,SPIRAL_6orbit_spc15m_alt95m_20260310T142457Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
4.0,10.245090027275536,11.538925405221288,95.0,52.63058185545639,1.1712069307901625,-155.83292954714713,-128.0514170433107,-10.791812460476251,-59.045313566289686,-79.34224034738786,SPIRAL_6orbit_spc15m_alt95m_20260310T142457Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
4.25,9.883505009215968,12.471264546690133,95.0,52.63059023076308,1.1712015792098587,-158.35516431209294,-130.5736518082565,-10.791812460476251,-61.5675483312355,-79.62867930355011,SPIRAL_6orbit_spc15m_alt95m_20260310T142457Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
4.5,9.521919991156402,13.403603688158977,95.0,52.63059860606978,1.171196227629555,-159.5583168934224,-131.77680438958595,-10.791812460476251,-62.77070091256494,-79.85517820128536,SPIRAL_6orbit_spc15m_alt95m_20260310T142457Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
4.75,9.160334973096834,14.335942829627822,95.0,52.63060698137648,1.1711908760492513,-160.46633163904147,-132.68481913520503,-10.791812460476251,-63.67871565818403,-80.01913070834372,SPIRAL_6orbit_spc15m_alt95m_20260310T142457Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
5.0,8.798749955037266,15.268281971096666,95.0,52.63061535668317,1.1711855244689477,-161.06368443194773,-133.2821719281113,-10.791812460476251,-64.27606845109031,-80.11957200539999,SPIRAL_6orbit_spc15m_alt95m_20260310T142457Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
5.25,8.4371649369777,16.20062111256551,95.0,52.63062373198987,1.171180172888644,-161.3504171238066,-133.56890461997017,-10.791812460476251,-64.56280114294918,-80.15693468770506,SPIRAL_6orbit_spc15m_alt95m_20260310T142457Z.csv,dir,2.0,2600.0,0.0,1.25,-97.0,-110.0,30.0,0.05,4.5,14.0,65.0,30.0,0.0,0.0,3.0,52.6304782,1.1710553
