plan,status,output,duration_s,samples,alt_min_m,alt_max_m,alt_mean_m,dist_min_m,dist_max_m,dist_mean_m,RSRP_mean,RSRP_median,RSRP_std,RSRP_min,RSRP_max,RSRP_range,RSRP_p5,RSRP_p95,RSRP_IQR,RSSI_mean,RSSI_median,RSSI_std,RSSI_min,RSSI_max,RSSI_range,RSSI_p5,RSSI_p95,RSSI_IQR,RSRQ_mean,RSRQ_median,RSRQ_std,RSRQ_min,RSRQ_max,RSRQ_range,RSRQ_p5,RSRQ_p95,RSRQ_IQR,SINR_mean,SINR_median,SINR_std,SINR_min,SINR_max,SINR_range,SINR_p5,SINR_p95,SINR_IQR,Gain_mean,Gain_median,Gain_std,Gain_min,Gain_max,Gain_range,Gain_p5,Gain_p95,Gain_IQR,pct_RSRP_gt_minus90,pct_RSRP_lt_minus110,pct_SINR_gt_0dB,pct_SINR_gt_10dB,RSSI_mean_abs_delta,RSRP_mean_abs_delta
SPIRAL_6orbit_spc15m_alt15m_20260310T141430Z.csv,ok,hi-env-dir\SPIRAL_6orbit_spc15m_alt15m_20260310T141430Z_radio_log.csv,781.2,3126,15.0,15.0,15.0,12.0,120.3,74.3,-98.46,-95.46,37.37,-254.58,-39.03,215.55,-168.03,-47.78,58.0,-70.68,-67.68,37.37,-226.8,-11.25,215.55,-140.24,-19.99,58.0,-10.79,-10.79,0.0,-10.79,-10.79,0.0,-10.79,-10.79,0.0,-1.67,1.33,37.37,-157.79,57.76,215.55,-71.24,49.01,58.0,-22.17,-14.45,31.37,-177.97,13.56,191.53,-78.48,12.79,46.24,45.1,35.2,51.3,42.7,0.836,0.836
SPIRAL_6orbit_spc15m_alt25m_20260310T141438Z.csv,ok,hi-env-dir\SPIRAL_6orbit_spc15m_alt25m_20260310T141438Z_radio_log.csv,781.2,3126,25.0,25.0,25.0,22.0,121.7,77.3,-103.88,-103.94,35.0,-249.24,-47.79,201.45,-166.0,-58.21,55.85,-76.09,-76.16,35.0,-221.46,-20.01,201.45,-138.22,-30.43,55.85,-10.79,-10.79,0.0,-10.79,-10.79,0.0,-10.79,-10.79,0.0,-7.09,-7.15,35.0,-152.45,48.99,201.45,-69.21,38.57,55.85,-26.94,-20.06,33.21,-181.44,12.55,193.98,-83.62,10.86,49.88,39.9,42.7,43.6,37.8,0.962,0.962
SPIRAL_6orbit_spc15m_alt35m_20260310T141450Z.csv,ok,hi-env-dir\SPIRAL_6orbit_spc15m_alt35m_20260310T141450Z_radio_log.csv,781.2,3126,35.0,35.0,35.0,32.0,123.9,81.3,-109.51,-102.3,33.45,-245.54,-60.45,185.09,-172.79,-67.93,46.26,-81.73,-74.52,33.45,-217.76,-32.67,185.09,-145.01,-40.15,46.26,-10.79,-10.79,0.0,-10.79,-10.79,0.0,-10.79,-10.79,0.0,-12.72,-5.51,33.45,-148.75,36.34,185.09,-76.0,28.86,46.26,-31.9,-25.24,34.52,-182.74,11.0,193.74,-91.7,8.61,51.75,31.3,41.0,42.4,28.6,1.03,1.03
SPIRAL_6orbit_spc15m_alt45m_20260310T141500Z.csv,ok,hi-env-dir\SPIRAL_6orbit_spc15m_alt45m_20260310T141500Z_radio_log.csv,781.2,3126,45.0,45.0,45.0,42.0,126.9,86.3,-115.13,-105.97,34.07,-261.45,-66.63,194.82,-184.97,-76.16,43.9,-87.34,-78.19,34.07,-233.67,-38.85,194.82,-157.19,-48.38,43.9,-10.79,-10.79,0.0,-10.79,-10.79,0.0,-10.79,-10.79,0.0,-18.34,-9.18,34.07,-164.66,30.15,194.82,-88.19,20.62,43.9,-36.84,-30.76,35.4,-183.42,8.99,192.41,-98.89,5.94,53.52,27.1,44.4,34.0,21.5,0.996,0.996
SPIRAL_6orbit_spc15m_alt55m_20260310T141538Z.csv,ok,hi-env-dir\SPIRAL_6orbit_spc15m_alt55m_20260310T141538Z_radio_log.csv,781.2,3126,55.0,55.0,55.0,52.0,130.5,92.1,-120.59,-112.86,38.23,-277.19,-64.42,212.77,-185.91,-72.5,59.56,-92.81,-85.08,38.23,-249.41,-36.64,212.77,-158.13,-44.72,59.56,-10.79,-10.79,0.0,-10.79,-10.79,0.0,-10.79,-10.79,0.0,-23.8,-16.08,38.23,-180.41,32.37,212.77,-89.12,24.29,59.56,-41.62,-35.76,35.92,-183.84,6.62,190.45,-105.46,2.93,54.72,27.3,54.0,35.0,23.7,0.925,0.925
SPIRAL_6orbit_spc15m_alt5m_20260310T141402Z.csv,ok,hi-env-dir\SPIRAL_6orbit_spc15m_alt5m_20260310T141402Z_radio_log.csv,781.2,3126,5.0,5.0,5.0,2.0,119.7,72.9,-93.62,-89.99,28.76,-201.5,-36.49,165.0,-146.46,-54.44,39.55,-65.83,-62.21,28.76,-173.72,-8.71,165.0,-118.68,-26.66,39.55,-10.79,-10.79,0.0,-10.79,-10.79,0.0,-10.79,-10.79,0.0,3.17,6.8,28.76,-104.71,60.29,165.0,-49.67,42.35,39.55,-17.91,-9.93,28.92,-161.76,13.99,175.75,-76.14,13.86,42.64,50.0,26.1,61.2,46.7,0.881,0.881
SPIRAL_6orbit_spc15m_alt65m_20260310T142419Z.csv,ok,hi-env-dir\SPIRAL_6orbit_spc15m_alt65m_20260310T142419Z_radio_log.csv,781.2,3126,65.0,65.0,65.0,62.0,134.8,98.5,-125.81,-117.26,35.31,-255.78,-62.18,193.6,-192.54,-86.38,53.0,-98.03,-89.48,35.31,-228.0,-34.39,193.6,-164.75,-58.6,53.0,-10.79,-10.79,0.0,-10.79,-10.79,0.0,-10.79,-10.79,0.0,-29.03,-20.47,35.31,-158.99,34.61,193.6,-95.75,10.41,53.0,-46.18,-40.74,36.17,-184.12,3.96,188.08,-110.85,-0.37,55.41,11.6,57.4,24.6,5.5,0.766,0.766
SPIRAL_6orbit_spc15m_alt75m_20260310T142430Z.csv,ok,hi-env-dir\SPIRAL_6orbit_spc15m_alt75m_20260310T142430Z_radio_log.csv,781.2,3126,75.0,75.0,75.0,72.0,139.7,105.4,-130.75,-124.1,34.39,-249.99,-71.06,178.93,-193.12,-87.66,50.98,-102.97,-96.32,34.39,-222.2,-43.28,178.93,-165.34,-59.88,50.98,-10.79,-10.79,0.0,-10.79,-10.79,0.0,-10.79,-10.79,0.0,-33.97,-27.32,34.39,-153.2,25.73,178.93,-96.33,9.13,50.98,-50.47,-45.26,36.21,-184.32,1.11,185.43,-115.81,-3.73,55.46,7.5,66.1,16.9,4.4,1.064,1.064
SPIRAL_6orbit_spc15m_alt85m_20260310T142439Z.csv,ok,hi-env-dir\SPIRAL_6orbit_spc15m_alt85m_20260310T142439Z_radio_log.csv,781.2,3126,85.0,85.0,85.0,82.0,145.1,112.7,-135.39,-126.86,37.04,-276.64,-79.89,196.75,-204.23,-89.21,53.75,-107.61,-99.07,37.04,-248.86,-52.11,196.75,-176.45,-61.43,53.75,-10.79,-10.79,0.0,-10.79,-10.79,0.0,-10.79,-10.79,0.0,-38.6,-30.07,37.04,-179.85,16.89,196.75,-107.45,7.58,53.75,-54.49,-49.39,36.11,-184.48,-1.85,182.62,-119.53,-7.16,55.42,6.1,71.1,14.8,3.2,0.91,0.91
SPIRAL_6orbit_spc15m_alt95m_20260310T142457Z.csv,ok,hi-env-dir\SPIRAL_6orbit_spc15m_alt95m_20260310T142457Z_radio_log.csv,781.2,3126,95.0,95.0,95.0,92.0,151.0,120.4,-139.72,-131.17,35.31,-272.16,-82.01,190.15,-210.14,-94.65,45.32,-111.94,-103.39,35.31,-244.38,-54.23,190.15,-182.35,-66.86,45.32,-10.79,-10.79,0.0,-10.79,-10.79,0.0,-10.79,-10.79,0.0,-42.93,-34.39,35.31,-175.37,14.77,190.15,-113.35,2.14,45.32,-58.21,-53.3,35.91,-184.6,-4.87,179.73,-122.65,-10.57,54.98,1.8,82.2,6.6,0.8,0.935,0.935
