plan,status,output,duration_s,samples,alt_min_m,alt_max_m,alt_mean_m,dist_min_m,dist_max_m,dist_mean_m,RSRP_mean,RSRP_median,RSRP_std,RSRP_min,RSRP_max,RSRP_range,RSRP_p5,RSRP_p95,RSRP_IQR,RSSI_mean,RSSI_median,RSSI_std,RSSI_min,RSSI_max,RSSI_range,RSSI_p5,RSSI_p95,RSSI_IQR,RSRQ_mean,RSRQ_median,RSRQ_std,RSRQ_min,RSRQ_max,RSRQ_range,RSRQ_p5,RSRQ_p95,RSRQ_IQR,SINR_mean,SINR_median,SINR_std,SINR_min,SINR_max,SINR_range,SINR_p5,SINR_p95,SINR_IQR,Gain_mean,Gain_median,Gain_std,Gain_min,Gain_max,Gain_range,Gain_p5,Gain_p95,Gain_IQR,pct_RSRP_gt_minus90,pct_RSRP_lt_minus110,pct_SINR_gt_0dB,pct_SINR_gt_10dB,RSSI_mean_abs_delta,RSRP_mean_abs_delta
SPIRAL_6orbit_spc15m_alt15m_20260310T141430Z.csv,ok,hi-env-omni\SPIRAL_6orbit_spc15m_alt15m_20260310T141430Z_radio_log.csv,781.2,3126,15.0,15.0,15.0,12.0,120.3,74.3,-72.51,-73.81,4.83,-175.33,-59.07,116.26,-77.58,-63.8,5.88,-44.73,-46.03,4.83,-147.55,-31.29,116.26,-49.8,-36.02,5.88,-10.79,-10.79,0.0,-10.79,-10.79,0.0,-10.79,-10.79,0.0,24.28,22.98,4.83,-78.54,37.72,116.26,19.21,32.98,5.88,3.78,4.4,3.35,-115.5,4.46,119.96,1.83,4.45,0.19,99.9,0.0,99.9,99.8,0.248,0.248
SPIRAL_6orbit_spc15m_alt25m_20260310T141438Z.csv,ok,hi-env-omni\SPIRAL_6orbit_spc15m_alt25m_20260310T141438Z_radio_log.csv,781.2,3126,25.0,25.0,25.0,22.0,121.7,77.3,-73.8,-73.83,4.19,-179.94,-65.44,114.51,-78.64,-67.77,5.16,-46.01,-46.05,4.19,-152.16,-37.66,114.51,-50.86,-39.99,5.16,-10.79,-10.79,0.0,-10.79,-10.79,0.0,-10.79,-10.79,0.0,22.99,22.96,4.19,-83.16,31.35,114.51,18.14,29.02,5.16,3.14,4.17,4.04,-115.5,4.36,119.86,-1.36,4.35,0.6,99.6,0.0,99.8,99.5,0.264,0.264
SPIRAL_6orbit_spc15m_alt35m_20260310T141450Z.csv,ok,hi-env-omni\SPIRAL_6orbit_spc15m_alt35m_20260310T141450Z_radio_log.csv,781.2,3126,35.0,35.0,35.0,32.0,123.9,81.3,-75.14,-74.89,4.2,-183.06,-67.74,115.31,-80.01,-69.43,3.99,-47.36,-47.11,4.2,-155.28,-39.96,115.31,-52.23,-41.64,3.99,-10.79,-10.79,0.0,-10.79,-10.79,0.0,-10.79,-10.79,0.0,21.65,21.9,4.2,-86.27,29.04,115.31,16.78,27.36,3.99,2.47,3.82,4.57,-115.5,4.2,119.7,-3.98,4.18,1.13,99.3,0.1,99.6,99.0,0.258,0.258
SPIRAL_6orbit_spc15m_alt45m_20260310T141500Z.csv,ok,hi-env-omni\SPIRAL_6orbit_spc15m_alt45m_20260310T141500Z_radio_log.csv,781.2,3126,45.0,45.0,45.0,42.0,126.9,86.3,-76.5,-75.88,4.15,-190.41,-71.3,119.11,-80.82,-73.07,2.8,-48.72,-48.1,4.15,-162.63,-43.52,119.11,-53.03,-45.29,2.8,-10.79,-10.79,0.0,-10.79,-10.79,0.0,-10.79,-10.79,0.0,20.29,20.91,4.15,-93.62,25.48,119.11,15.97,23.72,2.8,1.79,3.39,4.98,-115.5,4.0,119.5,-6.07,3.96,1.7,98.6,0.1,99.4,98.0,0.277,0.277
SPIRAL_6orbit_spc15m_alt55m_20260310T141538Z.csv,ok,hi-env-omni\SPIRAL_6orbit_spc15m_alt55m_20260310T141538Z_radio_log.csv,781.2,3126,55.0,55.0,55.0,52.0,130.5,92.1,-77.86,-77.07,4.41,-184.94,-71.7,113.23,-83.13,-74.25,2.75,-50.08,-49.29,4.41,-157.15,-43.92,113.23,-55.35,-46.47,2.75,-10.79,-10.79,0.0,-10.79,-10.79,0.0,-10.79,-10.79,0.0,18.93,19.72,4.41,-88.15,25.09,113.23,13.66,22.54,2.75,1.11,2.9,5.32,-115.5,3.75,119.25,-7.79,3.7,2.25,97.9,0.2,99.0,97.0,0.272,0.272
SPIRAL_6orbit_spc15m_alt5m_20260310T141402Z.csv,ok,hi-env-omni\SPIRAL_6orbit_spc15m_alt5m_20260310T141402Z_radio_log.csv,781.2,3126,5.0,5.0,5.0,2.0,119.7,72.9,-71.34,-73.19,6.72,-163.63,-43.48,120.16,-78.65,-57.09,6.61,-43.56,-45.41,6.72,-135.85,-15.69,120.16,-50.87,-29.31,6.61,-10.79,-10.79,0.0,-10.79,-10.79,0.0,-10.79,-10.79,0.0,25.44,23.6,6.72,-66.85,53.31,120.16,18.13,39.69,6.61,4.36,4.5,2.36,-115.5,4.5,120.0,4.4,4.5,0.01,100.0,0.0,100.0,100.0,0.25,0.25
SPIRAL_6orbit_spc15m_alt65m_20260310T142419Z.csv,ok,hi-env-omni\SPIRAL_6orbit_spc15m_alt65m_20260310T142419Z_radio_log.csv,781.2,3126,65.0,65.0,65.0,62.0,134.8,98.5,-79.19,-78.45,4.99,-192.48,-73.12,119.36,-85.92,-74.73,4.08,-51.41,-50.66,4.99,-164.7,-45.33,119.36,-58.14,-46.94,4.08,-10.79,-10.79,0.0,-10.79,-10.79,0.0,-10.79,-10.79,0.0,17.6,18.34,4.99,-95.69,23.67,119.36,10.87,22.06,4.08,0.44,2.37,5.58,-115.5,3.47,118.97,-9.24,3.41,2.76,97.0,0.3,98.7,95.6,0.29,0.29
SPIRAL_6orbit_spc15m_alt75m_20260310T142430Z.csv,ok,hi-env-omni\SPIRAL_6orbit_spc15m_alt75m_20260310T142430Z_radio_log.csv,781.2,3126,75.0,75.0,75.0,72.0,139.7,105.4,-80.48,-79.75,5.16,-192.2,-73.68,118.53,-88.29,-75.53,3.11,-52.7,-51.97,5.16,-164.42,-45.9,118.53,-60.51,-47.75,3.11,-10.79,-10.79,0.0,-10.79,-10.79,0.0,-10.79,-10.79,0.0,16.3,17.04,5.16,-95.42,23.11,118.53,8.49,21.26,3.11,-0.2,1.82,5.8,-115.5,3.16,118.66,-10.49,3.08,3.21,96.0,0.4,98.2,93.8,0.277,0.277
SPIRAL_6orbit_spc15m_alt85m_20260310T142439Z.csv,ok,hi-env-omni\SPIRAL_6orbit_spc15m_alt85m_20260310T142439Z_radio_log.csv,781.2,3126,85.0,85.0,85.0,82.0,145.1,112.7,-81.74,-80.78,5.54,-192.9,-74.97,117.93,-90.73,-76.13,3.59,-53.95,-53.0,5.54,-165.11,-47.19,117.93,-62.95,-48.35,3.59,-10.79,-10.79,0.0,-10.79,-10.79,0.0,-10.79,-10.79,0.0,15.05,16.01,5.54,-96.11,21.82,117.93,6.06,20.65,3.59,-0.83,1.26,5.98,-115.5,2.83,118.33,-11.59,2.74,3.59,94.4,0.5,97.6,91.0,0.254,0.254
SPIRAL_6orbit_spc15m_alt95m_20260310T142457Z.csv,ok,hi-env-omni\SPIRAL_6orbit_spc15m_alt95m_20260310T142457Z_radio_log.csv,781.2,3126,95.0,95.0,95.0,92.0,151.0,120.4,-82.94,-81.42,5.73,-199.22,-77.19,122.03,-92.55,-78.28,3.89,-55.16,-53.64,5.73,-171.44,-49.41,122.03,-64.76,-50.49,3.89,-10.79,-10.79,0.0,-10.79,-10.79,0.0,-10.79,-10.79,0.0,13.85,15.37,5.73,-102.43,19.6,122.03,4.24,18.51,3.89,-1.43,0.7,6.12,-115.5,2.48,117.98,-12.57,2.38,3.92,92.7,0.6,97.0,87.3,0.248,0.248
